Optimal solution:
Tin[constant8,extsi10] = 0.0
Tin[extsi10,cmpi1_plin] = 0.0
Tin[source2,constant9] = 0.0
Tin[constant9,extsi11] = 0.0
Tin[extsi11,addi1_plin] = 0.0
Tin[mc_load0_plout,muli0_plin] = 1.412
Tin[subi1_plout,extsi12] = 2.5880000000000005
Tin[extsi12,mc_load1_plin] = 2.588
Tin[mc_load1_plout,muli0_plin] = 1.412
Tin[muli0_plout,addi0_plin] = 0.0
Tin[addi0_plout,cond_br2] = 3.64700000000001
Tin[addi1_plout,fork4] = 1.3764999999999146
Tin[fork4,trunci0] = 1.3764999999998913
Tin[fork4,cmpi1_plin] = 1.3764999999998913
Tin[trunci0,cond_br0] = 3.6470000000000424
Tin[cmpi1_plout,fork5] = 3.18449999999984
Tin[fork5,cond_br0] = 3.1844999999998223
Tin[fork5,cond_br2] = 3.1844999999998223
Tin[fork5,cond_br3] = 3.1844999999998223
Tin[cond_br0,mux2_plin] = 3.6470000000000287
Tin[cond_br0,sink0] = 4.0
Tin[cond_br2,mux1_plin] = 3.6470000000000047
Tin[cond_br2,return1_plin] = 4.0
Tin[cond_br3,control_merge2] = 3.1844999999998054
Tin[cond_br3,sink1] = 4.0
Tin[return1_plout,end0_plin] = 1.412
Tin[mc_load0_plin,mc_load0_plout] = 4.0
Tin[mc_load1_plin,mc_load1_plout] = 4.0
Tin[muli0_plin,muli0_plout] = 4.0
Tin[mux2_plin,mux2_plout] = 4.0
Tin[mux1_plin,mux1_plout] = 4.0
Tin[subi1_plin,subi1_plout] = 1.5645000000000107
Tin[addi0_plin,addi0_plout] = 1.4964999999999897
Tin[addi1_plin,addi1_plout] = 0.8647499999999391
Tin[cmpi1_plin,cmpi1_plout] = 2.28049999999987
Tin[return1_plin,return1_plout] = 0.706
Tin[end0_plin,end0_plout] = 0.6985
Tout[start_0,fork0] = 0.0
Tout[fork0,constant1] = 0.0
Tout[fork0,control_merge2] = 0.0
Tout[constant1,fork1] = 0.0
Tout[fork1,extsi4] = 0.0
Tout[fork1,extsi5] = 0.0
Tout[extsi4,mux2_plin] = 3.6470000000000002
Tout[extsi5,mux1_plin] = 3.6470000000000002
Tout[mux2_plout,fork2] = 0.35299999999995757
Tout[fork2,extsi6] = 0.35299999999995124
Tout[fork2,extsi7] = 0.35299999999995396
Tout[fork2,extsi8] = 2.588
Tout[extsi6,addi1_plin] = 0.3529999999999458
Tout[extsi7,subi1_plin] = 0.5410000000000136
Tout[extsi8,mc_load0_plin] = 2.588
Tout[mux1_plout,addi0_plin] = 0.35299999999999354
Tout[control_merge2,fork3] = 3.6470000000000047
Tout[control_merge2,cond_br3] = 3.1844999999998054
